date;pluviométrie;quantité d'arrosage (en mL)
6 février;0.2;50
14 février;0.6;140
17 février;0.0;0
24 février;0.2;50
27 février;0.4;100
2 mars;0.0;0
9 mars;0.0;0
14 mars;2.2;530
22 mars;0.0;0
23 mars;0.0;0
24 mars;1.8;429
27 mars;0.0;0
8 avril;0.0;0
12 avril;0.6;140
14 avril;0.0;0
21 avril;0.0;0
26 avril;0.0;0
3 mai;0.0;0
13 mai;7.8;1880
15 mai;0.0;0
22 mai;0.0;0
24 mai;0.0;0
25 mai;0.0;0
6 juin;0.0;0
12 juin;0.0;0
29 juin;0.0;0
3 juillet;1.6;380
4 juillet;11.8;2839
5 juillet;1.2;290
6 juillet;0.0;0
10 juillet;0.0;0
25 juillet;1.0;240
2 août;0.0;0
5 août;0.0;0
9 août;0.0;0
12 août;0.0;0
14 août;0.0;0
17 août;0.0;0
19 août;0.4;100
22 août;2.2;530
23 août;0.0;0
3 septembre;0.0;0
8 septembre;0.0;0
14 septembre;1.2;290
15 septembre;0.0;0
20 septembre;0.0;0
24 septembre;0.0;0
25 septembre;0.0;0
31 septembre;0.0;0
4 octobre;0.0;0
14 octobre;0.2;50
18 octobre;0.0;0
20 octobre;0.0;0
21 octobre;0.0;0
25 octobre;0.0;0
30 octobre;3.2;770
2 février;0.0;0
8 février;7.2;1729
15 février;0.2;50
16 février;0.8;190
20 février;0.2;50
22 février;0.0;0
5 mars;0.0;0
18 mars;2.8;670
5 avril;0.0;0
7 avril;0.0;0
9 avril;0.0;0
15 avril;6.8;1640
2 mai;0.0;0
8 mai;33.6;8080
11 mai;0.0;0
14 mai;0.0;0
17 mai;0.0;0
19 mai;0.0;0
26 mai;0.0;0
28 mai;0.0;0
29 mai;0.0;0
3 juin;0.0;0
7 juin;0.0;0
8 juin;0.0;0
19 juin;0.0;0
20 juin;11.0;2650
25 juin;0.0;0
30 juin;0.0;0
8 juillet;22.6;5440
15 juillet;0.0;0
20 juillet;7.4;1780
30 juillet;9.8;2360
4 août;0.0;0
6 août;0.0;0
8 août;0.0;0
15 août;0.0;0
25 août;0.0;0
7 septembre;0.0;0
9 septembre;0.0;0
17 septembre;1.2;290
22 septembre;0.0;0
27 septembre;0.0;0
30 septembre;1.4;340
6 octobre;0.0;0
10 octobre;3.2;770
12 octobre;1.0;240
19 octobre;0.0;0
29 octobre;0.2;50
1 février;0.0;0
5 février;0.0;0
10 février;0.2;50
26 février;0.0;0
31 février;0.2;50
11 mars;0.8;190
16 mars;3.8;910
19 mars;0.0;0
20 mars;3.0;720
21 mars;0.2;50
26 mars;0.0;0
1 avril;0.0;0
2 avril;0.0;0
10 avril;0.0;0
22 avril;0.0;0
23 avril;0.0;0
5 mai;0.4;100
6 mai;0.4;100
9 mai;1.4;340
10 mai;0.0;0
16 mai;0.0;0
20 mai;0.0;0
27 mai;0.0;0
30 mai;0.0;0
5 juin;0.0;0
9 juin;0.0;0
13 juin;0.0;0
16 juin;0.0;0
23 juin;7.4;1780
26 juin;0.4;100
27 juin;0.0;0
12 juillet;0.0;0
14 juillet;0.0;0
18 juillet;0.0;0
26 juillet;0.0;0
3 août;0.0;0
10 août;0.0;0
11 août;0.0;0
13 août;0.0;0
18 août;0.0;0
20 août;5.6;1350
1 septembre;0.0;0
5 septembre;1.0;240
10 septembre;0.0;0
11 septembre;0.0;0
12 septembre;0.0;0
13 septembre;0.0;0
23 septembre;0.0;0
2 octobre;1.8;429
7 octobre;3.4;820
8 octobre;1.0;240
4 février;19.4;4670
7 février;6.6;1590
9 février;12.8;3080
12 février;0.0;0
13 février;0.0;0
23 février;0.0;0
25 février;0.0;0
28 février;0.0;0
29 février;0.2;50
1 mars;0.8;190
6 mars;4.4;1060
8 mars;0.0;0
10 mars;2.0;480
15 mars;0.8;190
4 avril;0.0;0
11 avril;2.2;530
18 avril;0.0;0
20 avril;0.0;0
25 avril;0.0;0
27 avril;0.0;0
28 avril;0.0;0
29 avril;1.0;240
31 avril;1.6;380
4 mai;0.0;0
12 mai;0.0;0
18 mai;0.0;0
1 juin;0.0;0
2 juin;0.0;0
4 juin;0.0;0
10 juin;0.0;0
14 juin;0.0;0
15 juin;2.8;670
18 juin;0.0;0
22 juin;0.0;0
24 juin;0.6;140
28 juin;0.0;0
7 juillet;1.4;340
16 juillet;0.0;0
17 juillet;0.0;0
19 juillet;5.2;1250
22 juillet;0.0;0
23 juillet;1.2;290
24 juillet;4.2;1010
29 juillet;0.0;0
1 août;0.0;0
21 août;0.0;0
26 août;0.0;0
27 août;0.0;0
30 août;0.0;0
31 août;0.0;0
2 septembre;0.0;0
4 septembre;3.2;770
6 septembre;0.0;0
16 septembre;22.6;5440
18 septembre;0.0;0
26 septembre;0.0;0
28 septembre;0.0;0
29 septembre;0.0;0
5 octobre;8.6;2070
9 octobre;1.0;240
11 octobre;0.2;50
13 octobre;0.2;50
15 octobre;0.0;0
17 octobre;0.0;0
23 octobre;0.0;0
3 février;9.4;2260
11 février;0.0;0
18 février;0.0;0
19 février;1.4;340
21 février;0.0;0
30 février;0.0;0
3 mars;0.0;0
4 mars;0.6;140
7 mars;0.0;0
12 mars;0.0;0
13 mars;0.0;0
17 mars;1.0;240
25 mars;0.0;0
28 mars;0.0;0
3 avril;0.0;0
6 avril;0.0;0
13 avril;2.0;480
16 avril;0.0;0
17 avril;0.0;0
19 avril;0.0;0
24 avril;0.0;0
30 avril;3.4;820
1 mai;2.2;530
7 mai;1.8;429
21 mai;0.0;0
23 mai;1.6;380
11 juin;0.0;0
17 juin;0.0;0
21 juin;0.0;0
31 juin;0.0;0
1 juillet;0.0;0
2 juillet;0.0;0
9 juillet;0.0;0
11 juillet;0.0;0
13 juillet;0.0;0
21 juillet;0.4;100
27 juillet;1.0;240
28 juillet;0.0;0
7 août;0.0;0
16 août;0.0;0
24 août;0.0;0
28 août;0.0;0
29 août;0.0;0
19 septembre;0.2;50
21 septembre;0.0;0
1 octobre;0.0;0
3 octobre;0.2;50
16 octobre;0.0;0
22 octobre;0.0;0
24 octobre;0.8;190
26 octobre;9.2;2210
27 octobre;6.2;1490
28 octobre;0.2;50
